1 0 2680
2 2680 2763
3 5443 1932
4 7375 2417
5 9792 7155
6 16947 1557
7 18504 1141
8 19645 1141
9 20786 1134
10 21920 1142
11 23062 1142
12 24204 1142
13 25346 1142
14 26488 1142
15 27630 1142
16 28772 799
17 29571 1121
18 30692 8064
19 38756 5536
20 44292 1325
21 45617 2008
22 47625 4749
23 52374 6769
24 59143 8165
25 67308 3906
26 71214 5522
27 76736 1242
28 77978 8821
29 86799 6053
30 92852 2066
31 94918 4445
32 99363 1941
33 101304 9356
34 110660 2403
35 113063 1274
36 114337 2927
37 117264 2160
38 119424 3016
39 122440 950
40 123390 3787
41 127177 2597
42 129774 1518
43 131292 3406
44 134698 1660
45 136358 6364
46 142722 2470
47 145192 2156
48 147348 5065
49 152413 8549
50 160962 5186
51 166148 1101
52 167249 1312
53 168561 1475
54 170036 2473
55 172509 2365
56 174874 1825
57 176699 3501
58 180200 2425
59 182625 3927
60 186552 3750
61 190302 446
62 190748 13446
63 204194 9634
64 213828 2465
65 216293 2089
66 218382 2435
67 220817 2660
68 223477 6371
69 229848 7986
70 237834 5214
71 243048 5937
72 248985 4555
73 253540 2501
74 256041 2488
75 258529 7400
76 265929 8550
77 274479 5434
78 279913 655
79 280568 2812
80 283380 3264
81 286644 1149
82 287793 1781
83 289574 1926
84 291500 642
85 292142 487
86 292629 606
87 293235 2578
88 295813 2517
89 298330 1924
90 300254 5768
91 306022 2037
92 308059 3823
93 311882 8168
94 320050 4204
95 324254 2387
96 326641 1580
97 328221 3011
98 331232 1780
99 333012 8347
100 341359 1703
101 343062 3760
102 346822 2462
103 349284 2056
104 351340 2571
105 353911 3448
106 357359 2537
107 359896 2529
108 362425 20198
109 382623 8444
110 391067 4396
111 395463 4503
112 399966 4178
113 404144 1558
114 405702 4516
115 410218 1386
116 411604 1204
117 412808 1503
118 414311 7470
119 421781 2206
120 423987 18115
121 442102 8937
122 451039 5712
123 456751 4052
124 460803 3570
125 464373 2067
126 466440 16482
127 482922 4495
128 487417 1169
129 488586 1942
130 490528 1370
131 491898 8228
132 500126 5206
133 505332 6878
134 512210 1856
135 514066 8154
136 522220 7551
137 529771 8494
138 538265 4973
139 543238 6717
140 549955 15137
141 565092 7595
142 572687 5116
143 577803 1394
144 579197 1595
145 580792 2178
146 582970 1371
147 584341 836
148 585177 6375
149 591552 2148
150 593700 8250
151 601950 4246
152 606196 1891
153 608087 5270
154 613357 5503
155 618860 9161
156 628021 4722
157 632743 9577
158 642320 3801
159 646121 1098
160 647219 1450
161 648669 1377
162 650046 9102
163 659148 320
164 659468 1749
165 661217 788
166 662005 1463
167 663468 12529
168 675997 8073
169 684070 4106
170 688176 5033
171 693209 4454
172 697663 8905
173 706568 2243
174 708811 5394
175 714205 2955
176 717160 3126
177 720286 1695
178 721981 8114
179 730095 3717
180 733812 14247
181 748059 3313
182 751372 3905
183 755277 4342
184 759619 11674
185 771293 953
186 772246 7983
187 780229 6250
188 786479 801
189 787280 5673
190 792953 15775
191 808728 933
192 809661 6057
193 815718 695
194 816413 5255
195 821668 7927
196 829595 1457
197 831052 4371
198 835423 720
199 836143 8897
200 845040 1375
201 846415 4324
202 850739 5460
203 856199 3020
204 859219 2756
205 861975 3745
206 865720 2131
207 867851 4015
208 871866 13120
209 884986 2520
210 887506 1925
211 889431 3623
212 893054 3871
213 896925 3878
214 900803 1906
215 902709 5436
216 908145 6864
217 915009 2517
218 917526 4587
219 922113 6957
220 929070 1514
221 930584 2479
222 933063 2681
223 935744 810
224 936554 5360
225 941914 271
226 942185 849
227 943034 3575
228 946609 5934
229 952543 1249
230 953792 1394
231 955186 3682
232 958868 4607
233 963475 2395
234 965870 2212
236 968082 4095
238 972177 2946
239 975123 1153
240 976276 1795
241 978071 2014
242 980085 3131
243 983216 7141
244 990357 8594
245 998951 3975
246 1002926 3995
247 1006921 4633
248 1011554 3927
249 1015481 4656
250 1020137 1176
251 1021313 4237
252 1025550 2735
253 1028285 1736
255 1030021 4063
256 1034084 3879
257 1037963 2899
258 1040862 1308
259 1042170 3176
260 1045346 7708
261 1053054 19014
262 1072068 2217
263 1074285 3792
264 1078077 1666
265 1079743 4253
266 1083996 5128
267 1089124 8902
268 1098026 3149
272 1101175 8693
273 1109868 5765
274 1115633 2175
275 1117808 4982
276 1122790 1232
277 1124022 3889
278 1127911 6351
279 1134262 1675
280 1135937 3463
281 1139400 2828
282 1142228 6341
284 1148569 1804
285 1150373 6743
286 1157116 3680
287 1160796 10490
288 1171286 7018
289 1178304 4592
290 1182896 3548
291 1186444 6444
292 1192888 9629
293 1202517 1605
294 1204122 2799
295 1206921 2421
296 1209342 4561
297 1213903 8708
298 1222611 1593
299 1224204 4816
300 1229020 9605
301 1238625 7291
302 1245916 9181
303 1255097 11727
304 1266824 15574
305 1282398 8996
306 1291394 13572
307 1304966 12648
308 1317614 8193
309 1325807 21038
310 1346845 12817
311 1359662 43757
312 1403419 22608
313 1426027 21895
314 1447922 8635
315 1456557 5313
316 1461870 1313
317 1463183 14588
318 1477771 1106
319 1478877 1328
320 1480205 5236
321 1485441 2510
322 1487951 3097
323 1491048 6864
324 1497912 6197
325 1504109 9170
326 1513279 11643
327 1524922 2079
328 1527001 6489
329 1533490 5770
330 1539260 9997
331 1549257 7701
332 1556958 5963
333 1562921 1233
334 1564154 4939
335 1569093 9945
336 1579038 5499
337 1584537 3034
338 1587571 1998
339 1589569 1963
340 1591532 2327
341 1593859 1829
342 1595688 1423
343 1597111 1505
344 1598616 1566
345 1600182 1642
346 1601824 3456
347 1605280 2549
348 1607829 15226
349 1623055 3293
350 1626348 7953
351 1634301 3681
352 1637982 3429
353 1641411 6146
354 1647557 2542
355 1650099 3691
356 1653790 2746
